Category,Term,Count,%,PValue,Genes,List Total,Pop Hits,Pop Total,Fold Enrichment,Bonferroni,Benjamini,FDR,treatment,term_clean,-log10(p),gene_ratio
GOTERM_BP_FAT,GO:0051607~defense response to virus,6,20.0,5.333492047763847e-05,"3437, 664, 665, 3434, 3433, 8638",27,309,19104,13.738942826321466,0.0404929976996751,0.0412812284496921,0.0412812284496921,hATF567,defense response to virus,4.272988348105781,0.2222222222222222
GOTERM_BP_FAT,GO:0140374~antiviral innate immune response,4,13.333333333333334,0.00014728228339496195,"3437, 3434, 3433, 8638",27,76,19104,37.239766081871345,0.1078778141531677,0.0569982436738502,0.0569982436738502,hATF567,antiviral innate immune response,3.831849491355313,0.14814814814814814
GOTERM_BP_FAT,GO:0009615~response to virus,6,20.0,0.0002458695404109581,"3437, 664, 665, 3434, 3433, 8638",27,428,19104,9.919003115264797,0.1735140181660375,0.0634343414260271,0.0634343414260271,hATF567,response to virus,3.609295270573244,0.2222222222222222
GOTERM_BP_FAT,GO:0006915~apoptotic process,7,23.333333333333332,0.0040683666714288,"664, 665, 3433, 51454, 3486, 3397, 3856",27,1165,19104,4.251406771578445,0.9575494481843622,0.497655694476565,0.497655694476565,hATF567,apoptotic process,2.3905799121401765,0.25925925925925924
GOTERM_BP_FAT,GO:0008637~apoptotic mitochondrial changes,3,10.0,0.0042937043644799,"664, 665, 3433",27,72,19104,29.48148148148148,0.964377766798542,0.497655694476565,0.497655694476565,hATF567,apoptotic mitochondrial changes,2.3671678614589378,0.1111111111111111
GOTERM_BP_FAT,GO:0042981~regulation of apoptotic process,8,26.666666666666668,0.0048029965702529,"3437, 664, 665, 3433, 3399, 3486, 3397, 3856",27,1617,19104,3.5005840720126433,0.976038100222007,0.497655694476565,0.497655694476565,hATF567,regulation of apoptotic process,2.318487723484038,0.2962962962962963
GOTERM_BP_FAT,GO:0012501~programmed cell death,7,23.333333333333332,0.0050215180130781,"664, 665, 3433, 51454, 3486, 3397, 3856",27,1216,19104,4.073099415204678,0.9797880316190146,0.497655694476565,0.497655694476565,hATF567,programmed cell death,2.299164975077125,0.25925925925925924
GOTERM_BP_FAT,GO:0008219~cell death,7,23.333333333333332,0.0051437281082849,"664, 665, 3433, 51454, 3486, 3397, 3856",27,1222,19104,4.0531005637388615,0.9816233975336092,0.497655694476565,0.497655694476565,hATF567,cell death,2.288721995797735,0.25925925925925924
GOTERM_BP_FAT,GO:0043067~regulation of programmed cell death,8,26.666666666666668,0.0059276140011225,"3437, 664, 665, 3433, 3399, 3486, 3397, 3856",27,1680,19104,3.369312169312169,0.9900239726737502,0.5097748040965365,0.5097748040965365,hATF567,regulation of programmed cell death,2.227120084826394,0.2962962962962963
GOTERM_BP_FAT,GO:0043065~positive regulation of apoptotic process,5,16.666666666666664,0.0072151797497261,"664, 665, 3433, 3399, 3486",27,576,19104,6.1419753086419755,0.9963463721007144,0.5584549126288054,0.5584549126288054,hATF567,positive regulation of apoptotic process,2.141752844980499,0.18518518518518517
GOTERM_BP_FAT,GO:0043068~positive regulation of programmed cell death,5,16.666666666666664,0.0083604016179107,"664, 665, 3433, 3399, 3486",27,601,19104,5.886485487151044,0.9985063731496444,0.5882682592966318,0.5882682592966318,hATF567,positive regulation of programmed cell death,2.0777728593728293,0.18518518518518517
GOTERM_BP_FAT,GO:0097345~mitochondrial outer membrane permeabilization,2,6.666666666666667,0.0121848118766801,"664, 665",27,9,19104,157.23456790123456,0.99992524039413,0.7064605943853234,0.7064605943853234,hATF567,mitochondrial outer membrane permeabilization,1.91418117157162,0.07407407407407407
GOTERM_BP_FAT,GO:0035694~mitochondrial protein catabolic process,2,6.666666666666667,0.0148730948029299,"664, 665",27,11,19104,128.64646464646464,0.999990954348995,0.7064605943853234,0.7064605943853234,hATF567,mitochondrial protein catabolic process,1.827598653805595,0.07407407407407407
GOTERM_CC_FAT,GO:0016363~nuclear matrix,3,10.0,0.015145257393582,"6596, 1063, 3856",25,132,16775,15.25,0.8582121169241026,1.0,1.0,hATF567,nuclear matrix,1.819723341435619,0.12
GOTERM_MF_FAT,GO:0140678~molecular function inhibitor activity,5,16.666666666666664,0.0152645721572256,"3434, 3399, 3397, 55450, 56901",26,677,17305,4.915634586978753,0.9509505307034736,1.0,1.0,hATF567,molecular function inhibitor activity,1.816315363809473,0.19230769230769232
GOTERM_BP_FAT,GO:0043653~mitochondrial fragmentation involved in apoptotic process,2,6.666666666666667,0.0162145969003606,"664, 665",27,12,19104,117.92592592592592,0.9999968537720414,0.7064605943853234,0.7064605943853234,hATF567,mitochondrial fragmentation involved in apoptotic process,1.7900938435451312,0.07407407407407407
GOTERM_BP_FAT,GO:0140694~membraneless organelle assembly,4,13.333333333333334,0.0170178290112824,"130916, 1063, 1062, 3856",27,404,19104,7.005500550055005,0.999998329403263,0.7064605943853234,0.7064605943853234,hATF567,membraneless organelle assembly,1.7690958442842175,0.14814814814814814
