sample_type,mean_dist,std_dist,n,log2FC,pareto_optimal
hATF567,220.33376727442015,5.805069351740748,2,-0.5011950306880465,True
nZF42,225.6163355056451,53.0696548251626,2,-0.07927754580648541,False
nZF154,226.03504555893284,7.78429646107002,2,-0.3134560468143729,False
hATF561,227.24057210846564,18.7875226361009,2,-0.5673246271577621,True
SP1R,227.8523184641171,47.12212083029822,2,0.07856201872225411,False
nZF93,231.66193292995627,31.732467251290526,2,-0.4156521372559903,False
nZF145,232.1569365129882,58.03060384557255,2,-0.02072288064586078,False
Base,236.62742799684816,28.189161036546228,2,-0.11921224594048487,False
nZF36,257.27475282487467,7.445046891139605,2,-0.015801636016768775,False
nZF148,257.3546224812823,10.002828849136161,2,0.024214206926579735,False
hATF555R,264.22863102390784,0.507910291791119,2,-0.009222261005821847,False
nZF105,264.45173552928685,5.508855280125266,2,-0.9543551627781386,True
ZDS2,270.6619808725519,4.376865549375551,2,0.02700237471732262,False
nZF147,270.89005033014644,6.600414978393726,2,-0.35884831198751654,False
nZF151,275.7705058366632,15.334037022544177,2,-0.20209141169810407,False
nZF153,276.69796699080473,1.1136377670229685,2,-0.7400228122965422,False
hATF555Q,278.75785337770355,6.9171879357491886,2,-0.09283622925499804,False
nZF81,279.7555069973657,2.2199186778811706,2,-0.19516503284293926,False
nZF139,283.50655005763394,7.123440580379965,2,-1.0875179352444926,True
nZFD96,288.14330840549695,21.167258441976678,6,-0.44545853260996415,False
nZF156,294.88383775121497,11.269345978298352,2,-0.4772551733449388,False
