,Unnamed: 0,gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,treatment
1070,1070,ENSG00000071794,421.7324564857023,-0.5433562765188584,0.1430126431715463,-3.799358325732729,0.0001450712146455,0.049303488520245,hATF567
1749,1749,ENSG00000091039,932.9359643925798,-0.4498251822494512,0.1179842575873646,-3.8125864538865786,0.0001375201028315,0.049303488520245,hATF567
2689,2689,ENSG00000104765,1030.717639920006,-0.4640994698992312,0.1085675630612558,-4.274752576304744,1.913496727353109e-05,0.0126450242065917,hATF567
2836,2836,ENSG00000105576,975.4663547946168,-0.5142590249021197,0.1090178382800743,-4.717200717014337,2.391117660106812e-06,0.0023701953805808,hATF567
4152,4152,ENSG00000116754,1833.9357439653595,-0.4210169623002087,0.0938027796515953,-4.488320749811045,7.178678977341906e-06,0.0050229639079695,hATF567
4219,4219,ENSG00000117318,1256.7426445433434,0.6811863663942755,0.1089996917778986,6.249433877136857,4.1194309308373314e-10,1.2250157730577516e-06,hATF567
4275,4275,ENSG00000117724,854.7374977324687,-0.501852164094083,0.1315898116119824,-3.813761551493739,0.0001368675297005,0.049303488520245,hATF567
4475,4475,ENSG00000119917,132.3436918542268,1.3369111061486274,0.2324275028133932,5.751948844117557,8.822049723769007e-09,1.748971357737206e-05,hATF567
4476,4476,ENSG00000119922,101.5930083092903,1.0021627567559614,0.2541390809765233,3.943363424882056,8.034675605451201e-05,0.0341330236881578,hATF567
4757,4757,ENSG00000122884,635.9867549862969,-0.5002707635530741,0.1247590417919022,-4.0098958469681465,6.074553665716463e-05,0.0267617836495175,hATF567
4895,4895,ENSG00000124225,1100.352420556562,0.4591523175566664,0.0998274464915892,4.599459704654985,4.235881143507691e-06,0.0031491128876264,hATF567
5125,5125,ENSG00000125968,824.2489210332341,1.0486059439225837,0.1100262342239844,9.53050834938055,1.565149082701612e-21,1.8617448338735676e-17,hATF567
6206,6206,ENSG00000135114,110.04242361935012,1.109212478217022,0.2676391285107787,4.144433156650152,3.406553014388933e-05,0.0184186127755256,hATF567
6839,6839,ENSG00000138778,516.9261714443536,-0.5086419244739946,0.1331607520546036,-3.819758574699412,0.0001335823584501,0.049303488520245,hATF567
6968,6968,ENSG00000139865,181.47082978097473,-0.986885410181195,0.1911328939447825,-5.163346767858295,2.4257316366668345e-07,0.0002885407781815,hATF567
7568,7568,ENSG00000144366,3135.1067294997106,-0.3522310305865085,0.0867483703109666,-4.060376342793149,4.899368017061934e-05,0.0240308558630048,hATF567
7828,7828,ENSG00000146674,337.3290044333273,1.1061679866875342,0.1514157742167958,7.305500317976991,2.762369279322556e-13,1.64291912887709e-09,hATF567
9448,9448,ENSG00000162545,1614.2324288586633,-0.3521782569066669,0.0917983833368901,-3.836432016609824,0.0001248347316907,0.049303488520245,hATF567
10623,10623,ENSG00000167740,373.44237250575895,0.5350867370327541,0.1406351421174112,3.804786833336644,0.0001419263628931,0.049303488520245,hATF567
11125,11125,ENSG00000170421,3518.6291128267567,0.3356959006995008,0.0834957782845953,4.0205134630314046,5.807143028069846e-05,0.0265676793534195,hATF567
12042,12042,ENSG00000176171,3495.2987136414617,-0.3907157176992248,0.1017252280884798,-3.84089301190245,0.0001225875378247,0.049303488520245,hATF567
13420,13420,ENSG00000185633,41.97924998694763,-1.9900647665906743,0.428798862934222,-4.641021557223559,3.4669095094927503e-06,0.0029567075964946,hATF567
13445,13445,ENSG00000185745,124.71754578773913,1.2480186027636224,0.2341869014627716,5.32915630621646,9.867005219174825e-08,0.00013040891898,hATF567
14707,14707,ENSG00000198840,28373.205261458163,0.3231216990631471,0.0789551783737894,4.092470002834077,4.268024705270199e-05,0.0220731103779082,hATF567
16264,16264,ENSG00000215386,1696.1850791190504,-0.6196450372547447,0.0980463058160473,-6.319922327489946,2.6169480455772556e-10,1.037619900071382e-06,hATF567
16745,16745,Target(SNHG14),1592.899197011579,-0.4718486699269471,0.1023312861833597,-4.610991296263754,4.0075331894011135e-06,0.0031491128876264,hATF567
17325,17325,ENSG00000226889,116.15159237595014,1.155247220149656,0.239369126967059,4.826216458184418,1.3915126722781198e-06,0.0015047312033407,hATF567
20416,20416,ENSG00000244879,430.20847523240025,-0.584737856385883,0.1375033163863599,-4.252536387870628,2.1136285882913505e-05,0.0130947317342461,hATF567
21802,21802,ENSG00000255418,82.06074714384154,-1.171025444944375,0.2800467400384659,-4.181535713586698,2.895467593218428e-05,0.0164007557244443,hATF567
25039,25039,ENSG00000272677,94.42312644510764,1.6759203875898758,0.2772311041524296,6.0452105210691185,1.4921503582980583e-09,3.549825702391081e-06,hATF567
26118,26118,ENSG00000278217,753.5197835867637,-0.5329734018666176,0.1256009646722149,-4.243386213294907,2.2017203420338157e-05,0.0130947317342461,hATF567
27230,27230,ENSG00000285646,67.52521492359081,1.2690127814892231,0.3130835452691152,4.05327204404315,5.050621240648353e-05,0.0240308558630048,hATF567
27738,27738,ENSG00000287264,49.412227781057624,2.2048352556075743,0.3992963030581459,5.52180232754748,3.35539857243868e-08,5.38938840614792e-05,hATF567
28280,28280,ENSG00000289100,112.69217707589937,1.3331546857220282,0.2420296924307665,5.508227822515544,3.6246412147274795e-08,5.38938840614792e-05,hATF567
28920,28920,ENSG00000290849,749.8123700672668,-0.5127992955925884,0.1105112234902803,-4.640246297134609,3.4799416856599977e-06,0.0029567075964946,hATF567
38556,5133,ENSG00000125968,639.9456847163801,0.5464909966373278,0.1177269074113309,4.642022870166123,3.4501466127825927e-06,0.0163857320202796,hATF561
41000,7577,ENSG00000144366,2906.855089095221,-0.4987987445229105,0.0868035429360342,-5.746294766913796,9.122022980069925e-09,0.0002339476806272,hATF561
49636,16213,ENSG00000215386,1683.470417974544,-0.5309694543985236,0.0945077830249284,-5.618261664845835,1.92888231757835e-08,0.0002339476806272,hATF561
50115,16692,Target(SNHG14),1502.7636909642065,-0.5631798353344588,0.1025506521884867,-5.491723585524761,3.980300105530704e-08,0.0003308126925209,hATF561
52401,18978,ENSG00000235655,2103.932313299232,-0.4671661055749712,0.0980945888532654,-4.762404440817634,1.9129979317649507e-06,0.0105996027069209,hATF561
61887,28464,ENSG00000289740,401.0026186048625,-0.8196898304487114,0.1594515836949747,-5.140681650530038,2.737435262572275e-07,0.0018201207060843,hATF561
62211,28788,ENSG00000290849,701.2353748061375,-0.637328740746518,0.1137550923577798,-5.602639209698027,2.1111236031938815e-08,0.0002339476806272,hATF561
66734,66,ENSG00000005022,6676.194991584944,-0.3594355118754354,0.0825975482183383,-4.351648682419767,1.3511764557358176e-05,0.0064763285292165,nZF105
67739,1071,ENSG00000071794,409.3470775207378,-0.5718999976102368,0.1433968438368526,-3.988232811183113,6.656732036696042e-05,0.0243496250815986,nZF105
67856,1188,ENSG00000075223,262.3472390242772,-0.8650203815424421,0.165734805726051,-5.219304284051624,1.7959648860117326e-07,0.0002269446537778,nZF105
67868,1200,ENSG00000075407,354.3369381801263,-0.7109618861816038,0.1607073655672203,-4.4239533370001265,9.69109608820492e-06,0.0051634077402091,nZF105
68050,1382,ENSG00000080815,233.19940671846376,-0.7005561226159259,0.1734350543505817,-4.039299467106697,5.361108096612328e-05,0.0212912578694032,nZF105
68133,1465,ENSG00000083642,417.0500067550249,-0.5545323407848948,0.138101107237216,-4.015408361877763,5.93429536569138e-05,0.0229129737730861,nZF105
69518,2850,ENSG00000105576,968.3004609183208,-0.4636742177079129,0.1093040192733701,-4.242060088826746,2.2147737108140177e-05,0.0102617848601049,nZF105
69761,3093,ENSG00000107290,271.10241973068287,-0.6407319033856818,0.1656104198769442,-3.868910566507672,0.0001093227291367,0.0379896483750271,nZF105
70054,3386,ENSG00000110048,426.1535951147838,-0.5368427440792117,0.1408124244547697,-3.812467160890697,0.0001375865140651,0.0455345844167997,nZF105
70808,4140,ENSG00000116539,547.9161688226657,-0.4750212306814584,0.1252819553331428,-3.791617311673564,0.0001496694205237,0.0483815103553493,nZF105
71167,4499,ENSG00000119917,136.09254521686717,1.434957451825262,0.2345025838882296,6.119154117761033,9.40733867985877e-10,1.8680286807148137e-06,nZF105
71169,4501,ENSG00000119922,101.05578705657985,1.0394469015035694,0.2520084118215649,4.124651609802423,3.712963504074168e-05,0.0161281852208221,nZF105
71664,4996,ENSG00000124762,979.5966828681406,0.5475528389646803,0.1085147307702628,5.04588487736202,4.5142717338379235e-07,0.0003691081005902,nZF105
71822,5154,ENSG00000125968,765.5725906792189,0.9357900769850972,0.1120377171349406,8.35245577039035,6.685810430398012e-17,4.646638249126618e-13,nZF105
