sample_type,mean_dist,std_dist,n,log2FC
hATF567,214.2038438246192,3.6750840400807774,2,-0.5011950306880467
nZF93,216.9475745508783,20.1357036854938,2,-0.41565213725599054
Base,218.61136501743513,43.987089782122,2,-0.11921224594048503
hATF561,218.8521596503526,11.123499748696315,2,-0.5673246271577621
nZF42,219.82987763242375,56.255624904670114,2,-0.07927754580648576
SP1R,224.20930112452862,42.712560749898316,2,0.07856201872225381
nZF145,232.05819984910443,52.886760219029206,2,-0.020722880645861107
nZF154,232.76565121189597,23.486344593878563,2,-0.3134560468143731
hATF555R,242.08685648509572,25.963332922739607,2,-0.00922226100582217
nZF148,247.4167160523956,5.051773638061979,2,0.02421420692657942
nZF36,248.61548405052199,4.084664101603951,2,-0.015801636016768934
nZF105,258.89923239823156,3.944832190684312,2,-0.9543551627781389
nZF147,260.21376081609753,8.208120707874539,2,-0.35884831198751677
nZF151,263.733259049269,23.052570911466525,2,-0.20209141169810427
ZDS2,266.3304461044446,7.875209942266679,2,0.02700237471732231
nZF153,269.9158458692069,2.4504093577947397,2,-0.7400228122965424
nZF81,272.8506043713505,0.766882856869696,2,-0.19516503284293962
hATF555Q,272.99561693934345,1.2474306264818218,2,-0.09283622925499839
nZF139,274.8922360175022,10.561081829026437,2,-1.0875179352444926
nZFD96,282.892183652804,21.564986629253617,6,-0.4454585326099644
nZF156,290.04517560472823,12.628352497916701,2,-0.477255173344939
Control,,,0,
