module_color,module_size,n_nsc_genes_in_module,expected_overlap,fold_enrichment,pvalue,fdr,significant,nsc_genes_in_module
black,115,21,4.232,4.9622,9.585631093147915e-10,9.585631093147914e-09,True,ENSG00000065243;ENSG00000068784;ENSG00000079482;ENSG00000117280;ENSG00000119004;ENSG00000144426;ENSG00000145012;ENSG00000145390;ENSG00000146833;ENSG00000147853;ENSG00000148737;ENSG00000151725;ENSG00000164244;ENSG00000165389;ENSG00000180370;ENSG00000182985;ENSG00000185238;ENSG00000196236;ENSG00000197056;ENSG00000198363;ENSG00000254221
blue,444,41,16.3392,2.5093,4.280940310567099e-08,2.1404701552835494e-07,True,ENSG00000008294;ENSG00000033030;ENSG00000035928;ENSG00000055609;ENSG00000068489;ENSG00000070476;ENSG00000076108;ENSG00000089048;ENSG00000100393;ENSG00000106462;ENSG00000107362;ENSG00000115993;ENSG00000118482;ENSG00000119397;ENSG00000121152;ENSG00000126070;ENSG00000127481;ENSG00000133226;ENSG00000134369;ENSG00000134627;ENSG00000134744;ENSG00000139631;ENSG00000144554;ENSG00000147133;ENSG00000149311;ENSG00000151422;ENSG00000156876;ENSG00000161551;ENSG00000165406;ENSG00000166333;ENSG00000168916;ENSG00000170017;ENSG00000170242;ENSG00000172725;ENSG00000174718;ENSG00000176208;ENSG00000182983;ENSG00000183474;ENSG00000189403;ENSG00000198185;ENSG00000253352
brown,406,14,14.9408,0.937,0.6385009556541742,1.0,False,ENSG00000064787;ENSG00000065809;ENSG00000084093;ENSG00000095739;ENSG00000119922;ENSG00000138376;ENSG00000140987;ENSG00000152558;ENSG00000153721;ENSG00000158715;ENSG00000164938;ENSG00000184678;ENSG00000187514;ENSG00000213977
green,223,7,8.2064,0.853,0.7188421807934322,1.0,False,ENSG00000002549;ENSG00000091409;ENSG00000107438;ENSG00000137962;ENSG00000139146;ENSG00000177119;ENSG00000185885
pink,34,1,1.2512,0.7992,0.7211137250185984,1.0,False,ENSG00000182154
red,153,4,5.6304,0.7104,0.8200193160566921,1.0,False,ENSG00000121316;ENSG00000158517;ENSG00000166278;ENSG00000167994
turquoise,6853,237,252.1904,0.9398,0.9625735327313002,1.0,False,ENSG00000005483;ENSG00000005700;ENSG00000009694;ENSG00000015479;ENSG00000023287;ENSG00000024526;ENSG00000025039;ENSG00000038295;ENSG00000047597;ENSG00000048828;ENSG00000055044;ENSG00000058091;ENSG00000058668;ENSG00000062725;ENSG00000065613;ENSG00000066427;ENSG00000066777;ENSG00000067248;ENSG00000068137;ENSG00000069275;ENSG00000070081;ENSG00000071794;ENSG00000072415;ENSG00000072571;ENSG00000072803;ENSG00000072832;ENSG00000077254;ENSG00000078674;ENSG00000080298;ENSG00000080345;ENSG00000081138;ENSG00000083093;ENSG00000089335;ENSG00000089916;ENSG00000092140;ENSG00000095787;ENSG00000099785;ENSG00000100284;ENSG00000100442;ENSG00000100592;ENSG00000101752;ENSG00000103274;ENSG00000104356;ENSG00000105576;ENSG00000105963;ENSG00000106780;ENSG00000107290;ENSG00000107614;ENSG00000108576;ENSG00000108588;ENSG00000109184;ENSG00000109689;ENSG00000109971;ENSG00000111481;ENSG00000111880;ENSG00000111962;ENSG00000112078;ENSG00000112146;ENSG00000112242;ENSG00000112701;ENSG00000113269;ENSG00000114120;ENSG00000115137;ENSG00000115274;ENSG00000115415;ENSG00000116539;ENSG00000116731;ENSG00000116903;ENSG00000118260;ENSG00000119314;ENSG00000119421;ENSG00000119547;ENSG00000119946;ENSG00000121057;ENSG00000121350;ENSG00000121741;ENSG00000121749;ENSG00000122085;ENSG00000122218;ENSG00000123352;ENSG00000124225;ENSG00000124688;ENSG00000125633;ENSG00000125850;ENSG00000125944;ENSG00000128829;ENSG00000129003;ENSG00000129317;ENSG00000129480;ENSG00000129534;ENSG00000130305;ENSG00000132549;ENSG00000132824;ENSG00000132958;ENSG00000133114;ENSG00000133703;ENSG00000133958;ENSG00000134318;ENSG00000134709;ENSG00000135596;ENSG00000135968;ENSG00000136104;ENSG00000137563;ENSG00000137574;ENSG00000137656;ENSG00000137824;ENSG00000138182;ENSG00000138385;ENSG00000138758;ENSG00000138760;ENSG00000138778;ENSG00000139220;ENSG00000139514;ENSG00000139985;ENSG00000140320;ENSG00000140386;ENSG00000140563;ENSG00000141622;ENSG00000142459;ENSG00000142687;ENSG00000143153;ENSG00000143374;ENSG00000143499;ENSG00000145536;ENSG00000145743;ENSG00000146416;ENSG00000147010;ENSG00000147679;ENSG00000147905;ENSG00000151240;ENSG00000151338;ENSG00000151690;ENSG00000152332;ENSG00000152601;ENSG00000153815;ENSG00000154153;ENSG00000154265;ENSG00000155330;ENSG00000156103;ENSG00000157036;ENSG00000158623;ENSG00000159063;ENSG00000160049;ENSG00000160062;ENSG00000160401;ENSG00000160551;ENSG00000162063;ENSG00000162066;ENSG00000162409;ENSG00000162601;ENSG00000162980;ENSG00000163781;ENSG00000163798;ENSG00000163832;ENSG00000164070;ENSG00000164163;ENSG00000164506;ENSG00000164830;ENSG00000165219;ENSG00000165271;ENSG00000166004;ENSG00000166266;ENSG00000166311;ENSG00000166349;ENSG00000166503;ENSG00000166596;ENSG00000166971;ENSG00000167740;ENSG00000168135;ENSG00000168491;ENSG00000168724;ENSG00000168803;ENSG00000170324;ENSG00000170540;ENSG00000171490;ENSG00000172062;ENSG00000173214;ENSG00000173409;ENSG00000173692;ENSG00000174373;ENSG00000174891;ENSG00000175198;ENSG00000175455;ENSG00000175928;ENSG00000177000;ENSG00000177311;ENSG00000177556;ENSG00000178177;ENSG00000178295;ENSG00000178966;ENSG00000178974;ENSG00000179029;ENSG00000179240;ENSG00000180011;ENSG00000181555;ENSG00000181619;ENSG00000182552;ENSG00000182768;ENSG00000182934;ENSG00000184220;ENSG00000184408;ENSG00000184939;ENSG00000185621;ENSG00000185630;ENSG00000185658;ENSG00000185745;ENSG00000185829;ENSG00000186166;ENSG00000187391;ENSG00000187742;ENSG00000188227;ENSG00000188994;ENSG00000197535;ENSG00000197885;ENSG00000197903;ENSG00000198162;ENSG00000198677;ENSG00000198715;ENSG00000198783;ENSG00000198791;ENSG00000204130;ENSG00000204147;ENSG00000204186;ENSG00000204272;ENSG00000204406;ENSG00000204842;ENSG00000205560;ENSG00000213967;ENSG00000214029;ENSG00000215717;ENSG00000231887;ENSG00000234545;ENSG00000240720;ENSG00000244754;ENSG00000253710;ENSG00000272325;ENSG00000276234
grey,1397,38,51.4096,0.7392,0.9861411329213199,1.0,False,ENSG00000005471;ENSG00000052749;ENSG00000064218;ENSG00000089060;ENSG00000102977;ENSG00000104976;ENSG00000115085;ENSG00000125968;ENSG00000126562;ENSG00000127083;ENSG00000137135;ENSG00000137804;ENSG00000146674;ENSG00000153898;ENSG00000162641;ENSG00000164434;ENSG00000167157;ENSG00000170122;ENSG00000173546;ENSG00000176946;ENSG00000182963;ENSG00000183850;ENSG00000185088;ENSG00000189350;ENSG00000197406;ENSG00000197457;ENSG00000197714;ENSG00000197889;ENSG00000198569;ENSG00000205571;ENSG00000210049;ENSG00000223953;ENSG00000226174;ENSG00000228696;ENSG00000247595;ENSG00000254726;ENSG00000256762;ENSG00000267395
yellow,343,5,12.6224,0.3961,0.9960974689042625,1.0,False,ENSG00000100439;ENSG00000113732;ENSG00000144749;ENSG00000148700;ENSG00000164292
magenta,32,0,1.1776,0.0,1.0,1.0,False,
