source,native,name,p_value,term_size,query_size,intersection_size,precision,recall,intersections
GO:BP,GO:0007155,cell adhesion,1.3715476851711747e-07,1512,106,30,0.2830188679245283,0.01984126984126984,"['ENSG00000128585', 'ENSG00000147027', 'ENSG00000076716', 'ENSG00000011201', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000152583', 'ENSG00000145012', 'ENSG00000254221', 'ENSG00000144857', 'ENSG00000128791', 'ENSG00000254122', 'ENSG00000134352', 'ENSG00000138448', 'ENSG00000095637', 'ENSG00000105855', 'ENSG00000162733', 'ENSG00000149084', 'ENSG00000182985', 'ENSG00000065243', 'ENSG00000046653', 'ENSG00000079691', 'ENSG00000135535', 'ENSG00000197329', 'ENSG00000262576', 'ENSG00000014123', 'ENSG00000103742', 'ENSG00000144847', 'ENSG00000100852', 'ENSG00000135919']"
GO:BP,GO:0007275,multicellular organism development,5.25770957007189e-07,4690,106,52,0.49056603773584906,0.011087420042643924,"['ENSG00000076716', 'ENSG00000011201', 'ENSG00000011405', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000106278', 'ENSG00000254221', 'ENSG00000173208', 'ENSG00000144857', 'ENSG00000152518', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000166340', 'ENSG00000254122', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000151834', 'ENSG00000138448', 'ENSG00000151725', 'ENSG00000105855', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000078549', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000027697', 'ENSG00000109472', 'ENSG00000046653', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000262576', 'ENSG00000148737', 'ENSG00000170365', 'ENSG00000014123', 'ENSG00000163288', 'ENSG00000187079', 'ENSG00000146411', 'ENSG00000147408', 'ENSG00000117280', 'ENSG00000116044', 'ENSG00000170385', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000144847', 'ENSG00000135919', 'ENSG00000162909']"
GO:BP,GO:0032501,multicellular organismal process,5.25770957007189e-07,7337,106,68,0.6415094339622641,0.009268093226114216,"['ENSG00000076716', 'ENSG00000011201', 'ENSG00000147853', 'ENSG00000011405', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000106278', 'ENSG00000254221', 'ENSG00000173208', 'ENSG00000113369', 'ENSG00000144857', 'ENSG00000152518', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000166340', 'ENSG00000185238', 'ENSG00000254122', 'ENSG00000008405', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000151834', 'ENSG00000138448', 'ENSG00000151725', 'ENSG00000105855', 'ENSG00000136802', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000145476', 'ENSG00000078549', 'ENSG00000196236', 'ENSG00000182985', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000027697', 'ENSG00000065243', 'ENSG00000109472', 'ENSG00000046653', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000197329', 'ENSG00000165029', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000262576', 'ENSG00000148737', 'ENSG00000136051', 'ENSG00000170365', 'ENSG00000164244', 'ENSG00000014123', 'ENSG00000163288', 'ENSG00000187079', 'ENSG00000146411', 'ENSG00000147408', 'ENSG00000117280', 'ENSG00000116044', 'ENSG00000145390', 'ENSG00000170385', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000144847', 'ENSG00000100852', 'ENSG00000135919', 'ENSG00000162909']"
GO:BP,GO:0010646,regulation of cell communication,5.25770957007189e-07,3480,106,44,0.41509433962264153,0.01264367816091954,"['ENSG00000076716', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000100100', 'ENSG00000113369', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000184985', 'ENSG00000110422', 'ENSG00000008405', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000138448', 'ENSG00000095637', 'ENSG00000136802', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000078549', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000197329', 'ENSG00000165029', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000148737', 'ENSG00000129657', 'ENSG00000197442', 'ENSG00000014123', 'ENSG00000117280', 'ENSG00000136002', 'ENSG00000116044', 'ENSG00000170385', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000144847', 'ENSG00000100852', 'ENSG00000135919']"
GO:BP,GO:0035556,intracellular signal transduction,5.25770957007189e-07,2963,106,40,0.37735849056603776,0.01349983125210935,"['ENSG00000011405', 'ENSG00000092969', 'ENSG00000100100', 'ENSG00000113369', 'ENSG00000152518', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000172817', 'ENSG00000110422', 'ENSG00000008405', 'ENSG00000120063', 'ENSG00000138448', 'ENSG00000136802', 'ENSG00000162733', 'ENSG00000078549', 'ENSG00000147475', 'ENSG00000065243', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000197329', 'ENSG00000165029', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000148737', 'ENSG00000129657', 'ENSG00000136051', 'ENSG00000197442', 'ENSG00000170365', 'ENSG00000141639', 'ENSG00000014123', 'ENSG00000187079', 'ENSG00000136002', 'ENSG00000116044', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000100852', 'ENSG00000135919']"
GO:BP,GO:0007165,signal transduction,5.25770957007189e-07,6063,106,61,0.5754716981132075,0.010061025894771565,"['ENSG00000128585', 'ENSG00000076716', 'ENSG00000011405', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000152583', 'ENSG00000100100', 'ENSG00000106278', 'ENSG00000113369', 'ENSG00000152518', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000184985', 'ENSG00000110422', 'ENSG00000008405', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000138448', 'ENSG00000095637', 'ENSG00000105855', 'ENSG00000136802', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000113594', 'ENSG00000078549', 'ENSG00000147475', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000027697', 'ENSG00000065243', 'ENSG00000109472', 'ENSG00000119737', 'ENSG00000135535', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000197329', 'ENSG00000165029', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000148737', 'ENSG00000129657', 'ENSG00000136051', 'ENSG00000197442', 'ENSG00000170365', 'ENSG00000141639', 'ENSG00000014123', 'ENSG00000085719', 'ENSG00000163288', 'ENSG00000187079', 'ENSG00000117280', 'ENSG00000136002', 'ENSG00000116044', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000100852', 'ENSG00000135919']"
GO:BP,GO:0007154,cell communication,5.25770957007189e-07,6598,106,64,0.6037735849056604,0.009699909063352531,"['ENSG00000128585', 'ENSG00000076716', 'ENSG00000011405', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000152583', 'ENSG00000100100', 'ENSG00000106278', 'ENSG00000113369', 'ENSG00000152518', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000184985', 'ENSG00000110422', 'ENSG00000008405', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000151834', 'ENSG00000138448', 'ENSG00000095637', 'ENSG00000105855', 'ENSG00000136802', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000113594', 'ENSG00000078549', 'ENSG00000147475', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000027697', 'ENSG00000065243', 'ENSG00000109472', 'ENSG00000119737', 'ENSG00000135535', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000197329', 'ENSG00000165029', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000148737', 'ENSG00000129657', 'ENSG00000136051', 'ENSG00000197442', 'ENSG00000170365', 'ENSG00000141639', 'ENSG00000014123', 'ENSG00000085719', 'ENSG00000163288', 'ENSG00000187079', 'ENSG00000117280', 'ENSG00000136002', 'ENSG00000116044', 'ENSG00000170385', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000144847', 'ENSG00000100852', 'ENSG00000135919']"
GO:BP,GO:0023052,signaling,5.25770957007189e-07,6558,106,64,0.6037735849056604,0.009759072888075633,"['ENSG00000128585', 'ENSG00000076716', 'ENSG00000011405', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000152583', 'ENSG00000100100', 'ENSG00000106278', 'ENSG00000113369', 'ENSG00000152518', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000184985', 'ENSG00000110422', 'ENSG00000008405', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000151834', 'ENSG00000138448', 'ENSG00000095637', 'ENSG00000105855', 'ENSG00000136802', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000113594', 'ENSG00000078549', 'ENSG00000147475', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000027697', 'ENSG00000065243', 'ENSG00000109472', 'ENSG00000119737', 'ENSG00000135535', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000197329', 'ENSG00000165029', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000148737', 'ENSG00000129657', 'ENSG00000136051', 'ENSG00000197442', 'ENSG00000170365', 'ENSG00000141639', 'ENSG00000014123', 'ENSG00000085719', 'ENSG00000163288', 'ENSG00000187079', 'ENSG00000117280', 'ENSG00000136002', 'ENSG00000116044', 'ENSG00000170385', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000144847', 'ENSG00000100852', 'ENSG00000135919']"
GO:BP,GO:0032502,developmental process,5.706831321512491e-07,6535,106,63,0.5943396226415094,0.009640397857689364,"['ENSG00000128585', 'ENSG00000076716', 'ENSG00000011201', 'ENSG00000011405', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000106278', 'ENSG00000254221', 'ENSG00000173208', 'ENSG00000113369', 'ENSG00000144857', 'ENSG00000152518', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000166340', 'ENSG00000185238', 'ENSG00000254122', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000151834', 'ENSG00000138448', 'ENSG00000151725', 'ENSG00000105855', 'ENSG00000136802', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000078549', 'ENSG00000182985', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000027697', 'ENSG00000109472', 'ENSG00000046653', 'ENSG00000144909', 'ENSG00000135535', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000165029', 'ENSG00000198363', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000262576', 'ENSG00000148737', 'ENSG00000197442', 'ENSG00000170365', 'ENSG00000014123', 'ENSG00000163288', 'ENSG00000187079', 'ENSG00000146411', 'ENSG00000147408', 'ENSG00000117280', 'ENSG00000116044', 'ENSG00000170385', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000144847', 'ENSG00000100852', 'ENSG00000135919', 'ENSG00000162909']"
GO:BP,GO:0023051,regulation of signaling,9.883500268451226e-07,3473,106,43,0.4056603773584906,0.012381226605240426,"['ENSG00000076716', 'ENSG00000092969', 'ENSG00000067141', 'ENSG00000100100', 'ENSG00000113369', 'ENSG00000128791', 'ENSG00000109501', 'ENSG00000205213', 'ENSG00000172817', 'ENSG00000184985', 'ENSG00000110422', 'ENSG00000008405', 'ENSG00000120063', 'ENSG00000134352', 'ENSG00000138448', 'ENSG00000095637', 'ENSG00000136802', 'ENSG00000164066', 'ENSG00000162733', 'ENSG00000078549', 'ENSG00000101938', 'ENSG00000185920', 'ENSG00000171100', 'ENSG00000163629', 'ENSG00000120885', 'ENSG00000197329', 'ENSG00000165029', 'ENSG00000148053', 'ENSG00000111961', 'ENSG00000079482', 'ENSG00000148737', 'ENSG00000129657', 'ENSG00000197442', 'ENSG00000014123', 'ENSG00000117280', 'ENSG00000136002', 'ENSG00000116044', 'ENSG00000170385', 'ENSG00000100644', 'ENSG00000180370', 'ENSG00000144847', 'ENSG00000100852', 'ENSG00000135919']"
