gene_id,module_color
ENSG00000172432,turquoise
ENSG00000289332,turquoise
ENSG00000173621,turquoise
ENSG00000138385,turquoise
ENSG00000010295,grey
ENSG00000288770,grey
ENSG00000128585,black
ENSG00000077080,turquoise
ENSG00000148481,turquoise
ENSG00000204427,turquoise
ENSG00000261678,turquoise
ENSG00000197142,green
ENSG00000140386,turquoise
ENSG00000021355,green
ENSG00000102349,turquoise
ENSG00000238083,grey
ENSG00000182698,turquoise
ENSG00000271200,grey
ENSG00000052802,turquoise
ENSG00000309908,turquoise
ENSG00000253649,turquoise
ENSG00000224078,turquoise
ENSG00000153933,turquoise
ENSG00000133056,blue
ENSG00000299860,pink
ENSG00000011105,turquoise
ENSG00000110048,turquoise
ENSG00000164828,turquoise
ENSG00000070808,turquoise
ENSG00000198682,grey
ENSG00000168781,turquoise
ENSG00000126432,turquoise
ENSG00000090238,turquoise
ENSG00000227001,grey
ENSG00000109083,turquoise
ENSG00000135324,turquoise
ENSG00000204344,turquoise
ENSG00000286647,turquoise
ENSG00000157303,red
ENSG00000065621,turquoise
ENSG00000113319,turquoise
ENSG00000232931,blue
ENSG00000206680,grey
ENSG00000078699,turquoise
ENSG00000161914,turquoise
ENSG00000286736,turquoise
ENSG00000171824,blue
ENSG00000159685,turquoise
ENSG00000183166,turquoise
ENSG00000128482,turquoise
ENSG00000091137,turquoise
ENSG00000133398,turquoise
ENSG00000106536,turquoise
ENSG00000006283,turquoise
ENSG00000213888,turquoise
ENSG00000038002,blue
ENSG00000132434,turquoise
ENSG00000198168,turquoise
ENSG00000204386,turquoise
ENSG00000166006,turquoise
ENSG00000289880,grey
ENSG00000185900,turquoise
ENSG00000182923,turquoise
ENSG00000206530,turquoise
ENSG00000242142,grey
ENSG00000213397,turquoise
ENSG00000288831,turquoise
ENSG00000111788,grey
ENSG00000225656,brown
ENSG00000161981,turquoise
ENSG00000279656,grey
ENSG00000139567,green
ENSG00000172936,green
ENSG00000309556,grey
ENSG00000168000,turquoise
ENSG00000067082,grey
ENSG00000183018,turquoise
ENSG00000116299,turquoise
ENSG00000174173,turquoise
ENSG00000293847,grey
ENSG00000066382,turquoise
ENSG00000171603,turquoise
ENSG00000138400,turquoise
ENSG00000275183,turquoise
ENSG00000122644,turquoise
ENSG00000147027,black
ENSG00000132975,turquoise
ENSG00000227487,blue
ENSG00000108666,turquoise
ENSG00000238018,blue
ENSG00000169035,turquoise
ENSG00000183077,blue
ENSG00000136710,turquoise
ENSG00000105499,blue
ENSG00000229119,grey
ENSG00000077235,grey
ENSG00000137574,turquoise
ENSG00000166685,turquoise
ENSG00000269091,turquoise
ENSG00000137965,grey
ENSG00000135116,turquoise
ENSG00000158286,turquoise
ENSG00000043591,turquoise
ENSG00000161638,green
ENSG00000164877,grey
ENSG00000308569,grey
ENSG00000211677,grey
ENSG00000239194,grey
ENSG00000108591,turquoise
ENSG00000185189,blue
ENSG00000132872,turquoise
ENSG00000243389,turquoise
ENSG00000198189,turquoise
ENSG00000156876,blue
ENSG00000130816,turquoise
ENSG00000112796,turquoise
ENSG00000160349,grey
ENSG00000104728,brown
ENSG00000105613,turquoise
ENSG00000254461,turquoise
ENSG00000286403,red
ENSG00000176268,grey
ENSG00000198492,turquoise
ENSG00000110328,turquoise
ENSG00000273295,grey
ENSG00000163563,red
ENSG00000141447,turquoise
ENSG00000261600,grey
ENSG00000177646,turquoise
ENSG00000178966,turquoise
ENSG00000180440,turquoise
ENSG00000229413,blue
ENSG00000138496,green
ENSG00000143036,yellow
ENSG00000006071,turquoise
ENSG00000182983,blue
ENSG00000091527,turquoise
ENSG00000180902,turquoise
ENSG00000234224,brown
ENSG00000076716,black
ENSG00000103423,turquoise
ENSG00000166482,grey
ENSG00000265452,grey
ENSG00000167131,turquoise
ENSG00000135049,turquoise
ENSG00000089847,turquoise
ENSG00000305941,grey
ENSG00000070669,turquoise
ENSG00000100097,turquoise
ENSG00000272182,brown
ENSG00000152193,turquoise
ENSG00000231925,turquoise
ENSG00000145545,turquoise
ENSG00000144230,grey
ENSG00000289612,grey
ENSG00000160284,turquoise
ENSG00000161057,turquoise
ENSG00000162377,turquoise
ENSG00000156515,turquoise
ENSG00000163154,red
ENSG00000291087,turquoise
ENSG00000185420,turquoise
ENSG00000183090,turquoise
ENSG00000132591,turquoise
